Category: All categories

Month,git: (Worldwide),svn: (Worldwide)
2004-01,5,2
2004-02,4,3
2004-03,4,3
2004-04,6,4
2004-05,6,4
2004-06,7,5
2004-07,8,5
2004-08,8,7
2004-09,7,7
2004-10,8,7
2004-11,6,7
2004-12,6,7
2005-01,6,9
2005-02,6,10
2005-03,6,10
2005-04,8,11
2005-05,8,13
2005-06,7,14
2005-07,7,15
2005-08,7,14
2005-09,6,14
2005-10,7,17
2005-11,8,18
2005-12,8,15
2006-01,7,19
2006-02,8,22
2006-03,8,21
2006-04,8,20
2006-05,9,22
2006-06,10,24
2006-07,10,25
2006-08,9,27
2006-09,9,28
2006-10,9,28
2006-11,10,28
2006-12,11,28
2007-01,9,28
2007-02,9,32
2007-03,9,30
2007-04,9,30
2007-05,10,28
2007-06,12,30
2007-07,11,28
2007-08,11,31
2007-09,11,30
2007-10,13,35
2007-11,12,32
2007-12,12,27
2008-01,12,33
2008-02,13,32
2008-03,13,33
2008-04,17,35
2008-05,16,35
2008-06,16,35
2008-07,17,39
2008-08,18,35
2008-09,15,35
2008-10,19,38
2008-11,19,35
2008-12,22,34
2009-01,32,33
2009-02,32,37
2009-03,30,39
2009-04,42,39
2009-05,42,36
2009-06,39,38
2009-07,34,38
2009-08,32,36
2009-09,30,36
2009-10,30,36
2009-11,28,35
2009-12,33,32
2010-01,29,33
2010-02,30,35
2010-03,33,36
2010-04,32,35
2010-05,32,34
2010-06,33,36
2010-07,31,32
2010-08,30,32
2010-09,31,31
2010-10,32,31
2010-11,33,33
2010-12,31,26
2011-01,31,29
2011-02,33,29
2011-03,41,30
2011-04,38,30
2011-05,37,29
2011-06,39,29
2011-07,37,30
2011-08,36,29
2011-09,37,28
2011-10,38,27
2011-11,40,28
2011-12,38,23
2012-01,39,22
2012-02,42,25
2012-03,40,25
2012-04,39,24
2012-05,63,24
2012-06,64,22
2012-07,53,22
2012-08,49,23
2012-09,48,22
2012-10,46,22
2012-11,46,21
2012-12,42,17
2013-01,45,20
2013-02,48,20
2013-03,47,19
2013-04,48,21
2013-05,47,20
2013-06,47,19
2013-07,53,20
2013-08,49,18
2013-09,48,18
2013-10,53,19
2013-11,56,18
2013-12,50,15
2014-01,55,17
2014-02,56,18
2014-03,55,16
2014-04,57,18
2014-05,59,16
2014-06,61,15
2014-07,60,15
2014-08,57,14
2014-09,63,15
2014-10,62,15
2014-11,58,13
2014-12,56,12
2015-01,60,12
2015-02,60,14
2015-03,64,14
2015-04,65,13
2015-05,59,12
2015-06,66,13
2015-07,66,13
2015-08,62,12
2015-09,62,12
2015-10,66,12
2015-11,66,11
2015-12,62,10
2016-01,65,10
2016-02,64,11
2016-03,71,11
2016-04,69,11
2016-05,67,10
2016-06,72,12
2016-07,65,9
2016-08,70,10
2016-09,72,9
2016-10,71,9
2016-11,78,9
2016-12,67,8
2017-01,74,9
2017-02,80,9
2017-03,85,10
2017-04,77,9
2017-05,78,9
2017-06,80,9
2017-07,80,8
2017-08,78,8
2017-09,78,8
2017-10,81,8
2017-11,83,8
2017-12,67,7
2018-01,74,7
2018-02,81,7
2018-03,82,7
2018-04,79,7
2018-05,83,7
2018-06,81,7
2018-07,81,7
2018-08,82,7
2018-09,77,7
2018-10,88,7
2018-11,80,7
2018-12,66,5
2019-01,78,6
2019-02,81,6
2019-03,80,6
2019-04,79,6
2019-05,80,6
2019-06,86,6
2019-07,100,6
2019-08,100,5
2019-09,90,6
2019-10,91,6
2019-11,86,5
2019-12,72,4
2020-01,78,5
2020-02,82,5
2020-03,81,5
2020-04,82,4
2020-05,76,4
2020-06,81,5
2020-07,81,5
2020-08,76,4
2020-09,78,4
2020-10,61,4
2020-11,54,3
2020-12,54,3
2021-01,54,3
2021-02,57,3
2021-03,62,4
2021-04,60,3
2021-05,58,3
2021-06,63,3
2021-07,61,3
2021-08,60,3
2021-09,65,3
2021-10,64,3
2021-11,64,3
2021-12,61,3
2022-01,77,3
2022-02,87,3
2022-03,96,4
2022-04,95,3
2022-05,87,3
2022-06,93,3
2022-07,90,3
2022-08,96,3
2022-09,91,3
2022-10,88,3
