"","x"
"1",10.9
"2",11
"3",10.9
"4",11
"5",11.2
"6",11.1
"7",11.1
"8",11.4
"9",11.4
"10",11.4
"11",11.4
"12",11.4
"13",12.1
"14",12
"15",12
"16",12
"17",12.1
"18",12
"19",12.3
"20",12.4
"21",12.3
"22",11.5
"23",11.6
"24",11.6
"25",11.5
"26",11.5
"27",11.4
"28",11.3
"29",11.2
"30",11.2
"31",10.6
"32",10.7
"33",10.6
"34",10.5
"35",10.5
"36",10.5
"37",10.7
"38",10.7
"39",10.7
"40",10.7
"41",10.6
"42",10.6
"43",10.9
"44",10.9
"45",10.8
"46",10.7
"47",10.7
"48",10.7
"49",10.3
"50",10.3
"51",10.3
"52",10.3
"53",10.2
"54",10.2
"55",10
"56",10
"57",10
"58",9.8
"59",9.7
"60",9.7
"61",9.7
"62",9.7
"63",9.7
"64",9.7
"65",9.7
"66",9.7
"67",9.9
"68",9.9
"69",9.9
"70",11.2
"71",10.7
"72",10.9
"73",10.5
"74",10.6
"75",10.6
"76",10.6
"77",10.5
"78",10.5
"79",10.4
"80",10.3
"81",10.3
"82",10.2
"83",9.8
"84",10.2
"85",9.9
"86",9.9
"87",10.2
"88",10.2
"89",10.2
"90",10.3
"91",10.1
"92",9.6
"93",9.7
"94",9.3
"95",9.5
"96",9.2
"97",9.1
"98",9.1
"99",9.1
"100",8.8
"101",8.8
"102",8.8
"103",8.5
"104",8.9
"105",9
"106",8.6
"107",8.8
"108",8.8
"109",8.4
"110",8.5
"111",8.4
"112",8.3
"113",8.5
"114",8.5
"115",8.2
"116",7.9
"117",8.1
"118",7.7
"119",7.8
"120",8.1
"121",7.7
"122",7.4
"123",7.6
"124",7.6
"125",7.8
"126",7.8
"127",7.6
"128",8
"129",8.5
"130",9
"131",9.4
"132",9.3
"133",9.3
"134",9.4
"135",9.5
"136",9.8
"137",9.8
"138",10.1
"139",10.1
"140",10.7
"141",10.8
"142",11.1
"143",11.7
"144",11.8
"145",12.1
"146",12.5
"147",12.7
"148",13.1
"149",13
"150",13.6
"151",14.3
"152",14.2
"153",14.9
"154",15.4
"155",15.6
"156",16.4
"157",16.7
"158",16.9
"159",17.4
"160",18.1
"161",18.8
"162",19.1
"163",20.5
"164",20.7
"165",21.5
"166",21.6
"167",22.4
"168",23
"169",23.5
"170",24.2
"171",25.2
"172",25.4
"173",26
"174",26.5
"175",26.2
"176",27
"177",26.9
"178",27.3
"179",27.3
"180",27.6
"181",28
"182",28
"183",27.9
"184",28.1
"185",27.9
"186",28.1
"187",27.7
"188",27.9
"189",27.8
"190",27.2
"191",27.6
"192",27.2
"193",27.1
"194",27.3
"195",26.7
"196",26.3
"197",26.3
"198",26.2
"199",26
"200",25.7
"201",25.9
"202",25.8
"203",25.9
"204",26.1
"205",25.4
"206",24.7
"207",25
"208",25
"209",24.2
"210",24.9
"211",24.8
"212",24.2
"213",24.2
"214",24.7
"215",24.2
"216",24.2
"217",23.9
"218",23.9
"219",23.6
"220",23.8
"221",23.9
"222",23.3
"223",23.6
"224",23.7
"225",23.7
"226",23.5
"227",23.1
"228",22.6
"229",22.1
"230",22.1
"231",21.4
"232",21.2
"233",21.1
"234",21.1
"235",21.1
"236",21.4
"237",21.2
"238",20.9
"239",21.4
"240",20.6
"241",20.1
"242",19.7
"243",19.5
"244",19.3
"245",19.3
"246",19.1
"247",18.9
"248",19.2
"249",19
"250",19.4
"251",19.3
"252",18.9
"253",18.2
"254",17.6
"255",17.4
"256",17.6
"257",17.4
"258",17.4
"259",17.1
"260",17
"261",17
"262",16.5
"263",16.4
"264",17
"265",18.4
"266",19.6
"267",20.3
"268",17.4
"269",17
"270",16.9
"271",17.5
"272",17.3
"273",16.8
"274",16.4
"275",15.9
"276",17.2
"277",17.2
"278",15.6
"279",15
"280",14.4
"281",13.7
"282",13.1
"283",13.3
"284",12.9
"285",12.9
"286",13.6
"287",13.1
"288",12.8
"289",12.8
"290",12.7
"291",12.4
"292",12.3
"293",12.2
