FullName,Party,Constituency,Term
Agorastis Vasileios ,PA.SO.K. (Panhellenic Socialist Movement),Larissa,3
Akrita Sylva - Kaiti ,PA.SO.K. (Panhellenic Socialist Movement),Athens B,3
Akritidis Nikolaos ,PA.SO.K. (Panhellenic Socialist Movement),Thessaloniki A,3
Akrivakis Alexandros ,PA.SO.K. (Panhellenic Socialist Movement),Viotia,3
Alevras Ioannis ,PA.SO.K. (Panhellenic Socialist Movement),Athens A,3
Alexandris Efstathios (Stathis) ,PA.SO.K. (Panhellenic Socialist Movement),Athens B,3
Alexiadis Konstantinos ,PA.SO.K. (Panhellenic Socialist Movement),Trikala,3
Alexiou Thomas ,NEA DIMOKRATIA,Xanthi,3
Allamanis Stylianos ,NEA DIMOKRATIA,Karditsa,3
Amanatidis Konstantinos ,PA.SO.K. (Panhellenic Socialist Movement),Thessaloniki B,3
Ampatielos Antonios ,KOMMOUNISTIKO KOMMA ELLADAS,Piraeus A,3
Anagnostopoulos Nikolaos ,NEA DIMOKRATIA,Athens A,3
Anastasakos Serafeim ,PA.SO.K. (Panhellenic Socialist Movement),Karditsa,3
Anastasopoulos Nikolaos ,NEA DIMOKRATIA,Messinia,3
Andrianopoulos Andreas ,NEA DIMOKRATIA,Piraeus A,3
Anthopoulos Efstathios ,PA.SO.K. (Panhellenic Socialist Movement),Serres,3
Aslanis Konstantinos ,PA.SO.K. (Panhellenic Socialist Movement),Iraklio,3
Athanasopoulos Nikolaos ,PA.SO.K. (Panhellenic Socialist Movement),Thessaloniki A,3
Atmatzidis Charalampos ,PA.SO.K. (Panhellenic Socialist Movement),Xanthi,3
Averof - Tositsas Evangelos ,NEA DIMOKRATIA,Ioannina,3
Avramidis Alexandros ,NEA DIMOKRATIA,Kilkis,3
Bakogiannis Konstantinos ,PA.SO.K. (Panhellenic Socialist Movement),Fokida,3
Balkos Anastasios ,NEA DIMOKRATIA,Preveza,3
Basagiannis Christos ,PA.SO.K. (Panhellenic Socialist Movement),Aitoloαkarnania,3
Batsos Athanasios ,PA.SO.K. (Panhellenic Socialist Movement),Fthiotida,3
Bekiris Vasileios ,NEA DIMOKRATIA,Achaia,3
Benaki - Psarouda Anna Evangelou,NEA DIMOKRATIA,State,3
Benteniotis Emmanouil ,PA.SO.K. (Panhellenic Socialist Movement),Piraeus A,3
Bletsas Stylianos ,NEA DIMOKRATIA,Rodopi,3
Bokovos Panagiotis ,NEA DIMOKRATIA,Thessaloniki A,3
Bougas Georgios ,NEA DIMOKRATIA,Piraeus B,3
Bouloukos Aristodimos ,PA.SO.K. (Panhellenic Socialist Movement),Messinia,3
Bouloukos Dionysios ,PA.SO.K. (Panhellenic Socialist Movement),Athens A,3
Boutos Ioannis ,NEA DIMOKRATIA,Messinia,3
Charalampopoulos Ioannis ,PA.SO.K. (Panhellenic Socialist Movement),Athens B,3
Charalampous Ioannis ,PA.SO.K. (Panhellenic Socialist Movement),Athens B,3
Chatzidimitriou Dimitrios ,NEA DIMOKRATIA,Imathia,3
Chatzigakis Sotirios ,NEA DIMOKRATIA,Trikala,3
Chatzinakis Emmanouil ,PA.SO.K. (Panhellenic Socialist Movement),Lasithi,3
Chatzinikolaou Panagiotis ,NEA DIMOKRATIA,Evros,3
Chatzipetrou Anargyros ,PA.SO.K. (Panhellenic Socialist Movement),Thessaloniki A,3
Chatzoplakis Ilias ,PA.SO.K. (Panhellenic Socialist Movement),Karditsa,3
Chiotakis Georgios ,PA.SO.K. (Panhellenic Socialist Movement),Dodecanese Islands,3
Chondrokoukis Dimitrios ,PA.SO.K. (Panhellenic Socialist Movement),Piraeus A,3
Choulis Nikolaos ,PA.SO.K. (Panhellenic Socialist Movement),Samos,3
Choutas Thomas ,NEA DIMOKRATIA,Aitoloαkarnania,3
Christoforidou Kyriakoula (Lila) ,PA.SO.K. (Panhellenic Socialist Movement),State,3
Damanaki Maria Theodorou,KOMMOUNISTIKO KOMMA ELLADAS,Athens B,3
Damianidis Alexandros ,PA.SO.K. (Panhellenic Socialist Movement),Serres,3
Damianos Theodoros ,NEA DIMOKRATIA,Drama,3
Darivianakis Alexandros ,PA.SO.K. (Panhellenic Socialist Movement),Iraklio,3
Daskalakis Georgios ,PA.SO.K. (Panhellenic Socialist Movement),Athens A,3
Davakis Dimitrios ,NEA DIMOKRATIA,Lakonia,3
Davidopoulos Georgios ,PA.SO.K. (Panhellenic Socialist Movement),Kozani,3
Dervenagas Athanasios ,NEA DIMOKRATIA,Trikala,3
Diamantidis Dimitrios ,PA.SO.K. (Panhellenic Socialist Movement),Piraeus B,3
Dimas Stavros ,NEA DIMOKRATIA,Korinthia,3
Dimitrakopoulos Athanasios ,PA.SO.K. (Panhellenic Socialist Movement),Aitoloαkarnania,3
Dimosthenopoulos Dimosthenis ,PA.SO.K. (Panhellenic Socialist Movement),Kavala,3
Efstratiadis Agamemnon ,NEA DIMOKRATIA,Larissa,3
Ermeidis Charis ,NEA DIMOKRATIA,Thessaloniki B,3
Evangelinos Vasileios ,PA.SO.K. (Panhellenic Socialist Movement),Halkidiki,3
Evert Miltiadis ,NEA DIMOKRATIA,Athens A,3
Farakos Grigorios ,KOMMOUNISTIKO KOMMA ELLADAS,Athens A,3
Filippopoulos Athanasios ,PA.SO.K. (Panhellenic Socialist Movement),Messinia,3
Flemigk - Koutsouri Amalia ,PA.SO.K. (Panhellenic Socialist Movement),Athens A,3
Florakis Ηarilaos ,KOMMOUNISTIKO KOMMA ELLADAS,Athens B,3
Floros Ioannis ,PA.SO.K. (Panhellenic Socialist Movement),Larissa,3
Fotiou Christos ,PA.SO.K. (Panhellenic Socialist Movement),Piraeus B,3
Fotopoulos Christos ,NEA DIMOKRATIA,Aitoloαkarnania,3
Fountas Paraskevas ,PA.SO.K. (Panhellenic Socialist Movement),Lakonia,3
Fragkos Dimitrios ,NEA DIMOKRATIA,Of Attica (rest),3
Gatsos Theofilos ,NEA DIMOKRATIA,Pella,3
Gennimatas Georgios ,PA.SO.K. (Panhellenic Socialist Movement),State,3
Georgakakis Charalampos ,PA.SO.K. (Panhellenic Socialist Movement),Rethymno,3
Georgakopoulos Dimitrios ,PA.SO.K. (Panhellenic Socialist Movement),Ileia,3
Giannopoulos Evangelos ,PA.SO.K. (Panhellenic Socialist Movement),Athens B,3
Giannopoulos Spyridon ,PA.SO.K. (Panhellenic Socialist Movement),Arcadia,3
Giatrakos Konstantinos ,NEA DIMOKRATIA,Lakonia,3
Gikonoglou Moschos ,PA.SO.K. (Panhellenic Socialist Movement),Imathia,3
Giotas Efstathios ,PA.SO.K. (Panhellenic Socialist Movement),Of Attica (rest),3
Gkelestathis Nikolaos ,NEA DIMOKRATIA,Fokida,3
Gkikas Sotirios ,NEA DIMOKRATIA,Corfu,3
Gkolfinopoulos Athanasios ,PA.SO.K. (Panhellenic Socialist Movement),Achaia,3
Gkougkourelas Konstantinos ,NEA DIMOKRATIA,Pieria,3
Glavinas Ioannis ,PA.SO.K. (Panhellenic Socialist Movement),Thessaloniki B,3
Glezos Emmanouil ,PA.SO.K. (Panhellenic Socialist Movement),Athens A,3
Intzes Anastasios ,PA.SO.K. (Panhellenic Socialist Movement),Thessaloniki A,3
Intzes Vasileios ,PA.SO.K. (Panhellenic Socialist Movement),Serres,3
Kaklamanaki - Rigou Stavroula (Roula) ,PA.SO.K. (Panhellenic Socialist Movement),Athens A,3
Kaklamanis Apostolos ,PA.SO.K. (Panhellenic Socialist Movement),Athens B,3
Kalaitzakis Evangelos ,PA.SO.K. (Panhellenic Socialist Movement),Iraklio,3
Kalantzakos Aristeidis ,NEA DIMOKRATIA,Messinia,3
Kalogiannis Eleftherios ,NEA DIMOKRATIA,Ioannina,3
Kalogirou Georgios ,PA.SO.K. (Panhellenic Socialist Movement),Viotia,3
Kaloudis Nikolaos ,KOMMOUNISTIKO KOMMA ELLADAS,Magnesia,3
Kaloudis Spyridon ,PA.SO.K. (Panhellenic Socialist Movement),Corfu,3
Kalteziotis Nikolaos ,NEA DIMOKRATIA,Arcadia,3
Kanavakis Konstantinos ,PA.SO.K. (Panhellenic Socialist Movement),Piraeus A,3
Kanellopoulos Athanasios ,NEA DIMOKRATIA,Ileia,3
Kanellopoulos Panagiotis ,NEA DIMOKRATIA,State,3
Kapouralos Georgios ,PA.SO.K. (Panhellenic Socialist Movement),Achaia,3
Kappos Konstantinos ,KOMMOUNISTIKO KOMMA ELLADAS,Athens B,3
Karageorgiou Christos ,PA.SO.K. (Panhellenic Socialist Movement),Fthiotida,3
Karamanlis Achillefs Georgiou,NEA DIMOKRATIA,Serres,3
Karampatsas Ioannis ,PA.SO.K. (Panhellenic Socialist Movement),Larissa,3
Karras Anastasios ,PA.SO.K. (Panhellenic Socialist Movement),Thessaloniki B,3
Kastanidis Charalampos ,PA.SO.K. (Panhellenic Socialist Movement),Thessaloniki A,3
Katiniotis Spyridon - Georgios ,PA.SO.K. (Panhellenic Socialist Movement),Preveza,3
Katrivanos Ilias ,PA.SO.K. (Panhellenic Socialist Movement),Athens B,3
Katsaros Nikos ,NEA DIMOKRATIA,Larissa,3
Katsaros Panagiotis ,PA.SO.K. (Panhellenic Socialist Movement),Karditsa,3
Katseli Eleonora (Nora) ,PA.SO.K. (Panhellenic Socialist Movement),Athens B,3
Katsifaras Georgios ,PA.SO.K. (Panhellenic Socialist Movement),Athens A,3
Katsigiannis Christos ,NEA DIMOKRATIA,Of Attica (rest),3
Katsimpardis Georgios ,PA.SO.K. (Panhellenic Socialist Movement),Viotia,3
Kazaklaris Christos ,PA.SO.K. (Panhellenic Socialist Movement),Pieria,3
Kazazis Andreas ,PA.SO.K. (Panhellenic Socialist Movement),Thessaloniki A,3
Kechagioglou Stefanos ,PA.SO.K. (Panhellenic Socialist Movement),Pella,3
Kedikoglou Vasileios ,PA.SO.K. (Panhellenic Socialist Movement),Evia,3
Kefalidis Dimitrios ,PA.SO.K. (Panhellenic Socialist Movement),Drama,3
Kefalogiannis Emmanouil ,NEA DIMOKRATIA,Iraklio,3
Kefalogiannis Ioannis ,NEA DIMOKRATIA,Rethymno,3
Klavdianos Georgios ,PA.SO.K. (Panhellenic Socialist Movement),Zakynthos,3
Kleitos Nikolaos ,NEA DIMOKRATIA,Serres,3
Klis Panagiotis ,NEA DIMOKRATIA,Evros,3
Kokkevis Andreas ,NEA DIMOKRATIA,State,3
Koliousis Achillefs ,PA.SO.K. (Panhellenic Socialist Movement),Thesprotia,3
Konstantinidis Ioannis ,PA.SO.K. (Panhellenic Socialist Movement),Grevena,3
Konstantinou Floros ,PA.SO.K. (Panhellenic Socialist Movement),Drama,3
Kontaxis Athanasios ,NEA DIMOKRATIA,Arta,3
Kontogeorgis Panagiotis ,PA.SO.K. (Panhellenic Socialist Movement),Athens B,3
Kontogiannopoulos Vasileios ,NEA DIMOKRATIA,Ileia,3
Kontopodis Konstantinos ,PA.SO.K. (Panhellenic Socialist Movement),Lasithi,3
Kopelouzos Dimitrios ,NEA DIMOKRATIA,Cyclades,3
Koronaios Ioannis ,PA.SO.K. (Panhellenic Socialist Movement),State,3
Kouloumpis Evangelos ,PA.SO.K. (Panhellenic Socialist Movement),Athens A,3
Koutras Panagiotis ,NEA DIMOKRATIA,Thessaloniki B,3
Koutsikas Foivos ,PA.SO.K. (Panhellenic Socialist Movement),Messinia,3
Koutsocheras Ioannis ,PA.SO.K. (Panhellenic Socialist Movement),Athens A,3
Koutsogiannis Ioannis ,PA.SO.K. (Panhellenic Socialist Movement),Argolida,3
Koutsogiorgas Agamemnon ,PA.SO.K. (Panhellenic Socialist Movement),Achaia,3
Kouvelas Sotirios ,NEA DIMOKRATIA,Thessaloniki A,3
Kratsas Apostolos ,NEA DIMOKRATIA,Athens B,3
Krikos Athanasios ,NEA DIMOKRATIA,Athens B,3
Kritikos Panagiotis ,PA.SO.K. (Panhellenic Socialist Movement),Piraeus B,3
Ktenas Georgios ,PA.SO.K. (Panhellenic Socialist Movement),Lefkada,3
Kypriotaki - Perraki Maria ,PA.SO.K. (Panhellenic Socialist Movement),Athens B,3
Lampraki Eirini ,PA.SO.K. (Panhellenic Socialist Movement),Athens B,3
Laskaris Konstantinos ,NEA DIMOKRATIA,Athens B,3
Lavrentidis Isaak ,NEA DIMOKRATIA,Serres,3
Lazaris Apostolos ,PA.SO.K. (Panhellenic Socialist Movement),State,3
Levogiannis Nikolaos ,PA.SO.K. (Panhellenic Socialist Movement),Cyclades,3
Livanos Dionysios ,NEA DIMOKRATIA,Aitoloαkarnania,3
Loules Konstantinos ,KOMMOUNISTIKO KOMMA ELLADAS,Larissa,3
Loulis Themistoklis ,PA.SO.K. (Panhellenic Socialist Movement),Ioannina,3
Malliakas Georgios ,PA.SO.K. (Panhellenic Socialist Movement),Lesvos,3
Manikas Georgios ,NEA DIMOKRATIA,Fthiotida,3
Manousakis Diakos ,NEA DIMOKRATIA,Pella,3
Mantelis Anastasios ,PA.SO.K. (Panhellenic Socialist Movement),Kefallonia,3
Mantzaris Dimitrios ,PA.SO.K. (Panhellenic Socialist Movement),Trikala,3
Mantzoris Vasileios ,NEA DIMOKRATIA,Arcadia,3
Marinidis Stavros ,PA.SO.K. (Panhellenic Socialist Movement),Kilkis,3
Matragkas Iraklis ,PA.SO.K. (Panhellenic Socialist Movement),Ileia,3
Mavrodoglou Diamantis ,KOMMOUNISTIKO KOMMA ELLADAS,Athens B,3
Mavros Georgios ,PA.SO.K. (Panhellenic Socialist Movement),State,3
Mechmet Achmet ,PA.SO.K. (Panhellenic Socialist Movement),Rodopi,3
Memetoglou Giasar ,NEA DIMOKRATIA,Rodopi,3
Merkouri Amalia - Maria (Melina) ,PA.SO.K. (Panhellenic Socialist Movement),Piraeus B,3
Michelogiannis Iosif ,PA.SO.K. (Panhellenic Socialist Movement),Chania,3
Misailidis Georgios ,NEA DIMOKRATIA,Chios,3
Mitsotakis Konstantinos ,NEA DIMOKRATIA,Chania,3
Moraitis Georgios ,PA.SO.K. (Panhellenic Socialist Movement),Ioannina,3
Moutsios Georgios ,NEA DIMOKRATIA,Thessaloniki A,3
Moutzouridis Georgios ,NEA DIMOKRATIA,Argolida,3
Nasis Konstantinos ,KOMMOUNISTIKO KOMMA ELLADAS,Athens B,3
Natsinas Markos ,PA.SO.K. (Panhellenic Socialist Movement),Kozani,3
Nianias Dimitrios ,NEA DIMOKRATIA,Lesvos,3
Ntegiannis Ioannis ,PA.SO.K. (Panhellenic Socialist Movement),State,3
Ntentidakis Antonios ,PA.SO.K. (Panhellenic Socialist Movement),Piraeus A,3
Oikonomou Christos ,PA.SO.K. (Panhellenic Socialist Movement),Trikala,3
Pagkalos Theodoros ,PA.SO.K. (Panhellenic Socialist Movement),Of Attica (rest),3
Palaiokrassas Ioannis ,NEA DIMOKRATIA,Cyclades,3
Panagiotopoulos Georgios ,NEA DIMOKRATIA,Kavala,3
Panagoulis Efstathios (Stathis) ,PA.SO.K. (Panhellenic Socialist Movement),Athens B,3
Panourgias Panourgias ,NEA DIMOKRATIA,Fthiotida,3
Papadimitriou Dimos ,PA.SO.K. (Panhellenic Socialist Movement),Pella,3
Papadimitriou Eleftherios ,NEA DIMOKRATIA,Arta,3
Papadimitriou Georgios ,PA.SO.K. (Panhellenic Socialist Movement),Aitoloαkarnania,3
Papadongonas Alexandros ,NEA DIMOKRATIA,Athens A,3
Papadonikolakis Ioannis ,PA.SO.K. (Panhellenic Socialist Movement),Iraklio,3
Papadopoulos Anastasios ,PA.SO.K. (Panhellenic Socialist Movement),Serres,3
Papadopoulos Charalampos ,NEA DIMOKRATIA,Kilkis,3
Papadopoulos Ilias ,PA.SO.K. (Panhellenic Socialist Movement),Kavala,3
Papadopoulos Ioannis ,PA.SO.K. (Panhellenic Socialist Movement),Evros,3
Papadopoulos Theodoros ,NEA DIMOKRATIA,Serres,3
Papaefthymiou Georgios ,NEA DIMOKRATIA,Karditsa,3
Papageorgiou Konstantinos ,PA.SO.K. (Panhellenic Socialist Movement),Kozani,3
Papageorgopoulos Panagiotis (Takis) ,PA.SO.K. (Panhellenic Socialist Movement),Athens A,3
Papageorgopoulos Vasileios ,NEA DIMOKRATIA,Thessaloniki A,3
Papagiannis Vasileios ,PA.SO.K. (Panhellenic Socialist Movement),Imathia,3
Papailias Ilias ,PA.SO.K. (Panhellenic Socialist Movement),Of Attica (rest),3
Papaioannou Miltiadis ,PA.SO.K. (Panhellenic Socialist Movement),Athens B,3
Papaïoannou Nikolaos ,PA.SO.K. (Panhellenic Socialist Movement),Aitoloαkarnania,3
Papakonstantinou Konstantinos ,NEA DIMOKRATIA,State,3
Papakonstantinou Michalis ,NEA DIMOKRATIA,Kozani,3
Papaligouras Anastasios - Petros Panagioti,NEA DIMOKRATIA,Korinthia,3
Papandreou Andreas ,PA.SO.K. (Panhellenic Socialist Movement),Athens A,3
Papandreou Georgios ,PA.SO.K. (Panhellenic Socialist Movement),Achaia,3
Papapolitis Sotirios ,NEA DIMOKRATIA,Piraeus A,3
Paparrigopoulos Konstantinos ,NEA DIMOKRATIA,Athens B,3
Papastefanakis Emmanouil ,PA.SO.K. (Panhellenic Socialist Movement),Iraklio,3
Papastratis Orestis ,PA.SO.K. (Panhellenic Socialist Movement),Evia,3
Papathemelis Stylianos - Angelos ,PA.SO.K. (Panhellenic Socialist Movement),Thessaloniki A,3
Papoulias Karolos ,PA.SO.K. (Panhellenic Socialist Movement),Ioannina,3
Pappas Georgios ,PA.SO.K. (Panhellenic Socialist Movement),Magnesia,3
Pavlidis Aristotelis ,NEA DIMOKRATIA,Dodecanese Islands,3
Pentaris Evangelos ,PA.SO.K. (Panhellenic Socialist Movement),Piraeus B,3
Peponis Anastasios ,PA.SO.K. (Panhellenic Socialist Movement),Athens A,3
Perakis Georgios ,PA.SO.K. (Panhellenic Socialist Movement),Rethymno,3
Petralias Avgerinos ,PA.SO.K. (Panhellenic Socialist Movement),Ileia,3
Petsos Georgios ,PA.SO.K. (Panhellenic Socialist Movement),Pella,3
Pitsioris Dimitrios ,PA.SO.K. (Panhellenic Socialist Movement),Magnesia,3
Plytas Georgios ,NEA DIMOKRATIA,Athens A,3
Polydoras Vyron ,NEA DIMOKRATIA,Athens B,3
Pottakis Ioannis ,PA.SO.K. (Panhellenic Socialist Movement),Korinthia,3
Printzos Konstantinos ,NEA DIMOKRATIA,Magnesia,3
Rallis Georgios ,NEA DIMOKRATIA,Athens A,3
Rallis Spyridon ,PA.SO.K. (Panhellenic Socialist Movement),Corfu,3
Reppas Dimitrios ,PA.SO.K. (Panhellenic Socialist Movement),Arcadia,3
Rizogiannis Nikolaos ,PA.SO.K. (Panhellenic Socialist Movement),Korinthia,3
Rodiou Georgios ,NEA DIMOKRATIA,Xanthi,3
Sachinis Dimitrios ,KOMMOUNISTIKO KOMMA ELLADAS,Thessaloniki A,3
Sakellariadou Ypsilanti - Aimilia ,KOMMOUNISTIKO KOMMA ELLADAS,Athens A,3
Salamalikis Panagiotis ,PA.SO.K. (Panhellenic Socialist Movement),Achaia,3
Samaras Antonios ,NEA DIMOKRATIA,Messinia,3
