Category: All categories

Month,R: (Worldwide),SPSS: (Worldwide),MATLAB: (Worldwide)
2005-01,36,31,84
2005-02,40,32,99
2005-03,35,33,98
2005-04,39,36,100
2005-05,37,32,93
2005-06,37,30,83
2005-07,36,28,70
2005-08,39,26,67
2005-09,39,28,86
2005-10,39,30,94
2005-11,40,30,94
2005-12,40,27,72
2006-01,40,26,73
2006-02,44,26,82
2006-03,48,28,87
2006-04,47,29,87
2006-05,46,27,84
2006-06,45,25,72
2006-07,47,21,57
2006-08,50,21,58
2006-09,52,23,70
2006-10,53,27,83
2006-11,55,27,85
2006-12,51,21,63
2007-01,51,23,64
2007-02,58,23,72
2007-03,54,28,82
2007-04,53,28,76
2007-05,52,27,76
2007-06,51,23,66
2007-07,48,21,58
2007-08,48,21,53
2007-09,52,23,66
2007-10,53,27,77
2007-11,53,29,78
2007-12,51,24,61
2008-01,49,24,60
2008-02,50,24,67
2008-03,50,26,67
2008-04,47,27,75
2008-05,49,26,70
2008-06,47,23,60
2008-07,45,21,52
2008-08,47,20,48
2008-09,48,22,63
2008-10,52,24,80
2008-11,48,26,76
2008-12,49,22,64
2009-01,47,22,56
2009-02,49,22,68
2009-03,46,27,77
2009-04,43,28,76
2009-05,41,26,71
2009-06,39,24,64
2009-07,40,21,55
2009-08,40,20,49
2009-09,42,23,71
2009-10,42,25,81
2009-11,43,27,86
2009-12,40,25,63
2010-01,42,24,62
2010-02,42,24,71
2010-03,42,28,80
2010-04,43,28,81
2010-05,44,27,72
2010-06,43,24,68
2010-07,43,19,54
2010-08,42,18,50
2010-09,46,21,68
2010-10,49,24,77
2010-11,49,24,81
2010-12,47,21,64
2011-01,48,22,59
2011-02,53,22,69
2011-03,51,25,74
2011-04,57,26,78
2011-05,53,27,73
2011-06,53,22,59
2011-07,53,18,51
2011-08,56,18,52
2011-09,59,19,64
2011-10,60,21,75
2011-11,63,25,84
2011-12,60,21,64
2012-01,61,21,57
2012-02,64,22,71
2012-03,62,24,78
2012-04,63,24,70
2012-05,61,23,70
2012-06,64,21,58
2012-07,62,19,54
2012-08,63,19,49
2012-09,64,19,66
2012-10,73,20,72
2012-11,61,22,76
2012-12,61,19,56
2013-01,64,19,60
2013-02,67,19,67
2013-03,64,21,68
2013-04,69,24,78
2013-05,66,22,65
2013-06,62,20,57
2013-07,62,17,53
2013-08,61,16,48
2013-09,61,17,63
2013-10,66,21,77
2013-11,67,21,74
2013-12,66,18,60
2014-01,62,19,58
2014-02,67,19,68
2014-03,68,21,74
2014-04,69,22,75
2014-05,66,23,66
2014-06,65,20,54
2014-07,62,16,50
2014-08,67,15,50
2014-09,64,17,67
2014-10,67,19,75
2014-11,64,22,74
2014-12,63,18,59
2015-01,65,18,56
2015-02,69,18,69
2015-03,70,20,71
2015-04,72,23,78
2015-05,67,22,64
2015-06,67,20,58
2015-07,67,15,49
2015-08,62,14,45
2015-09,59,17,64
2015-10,68,19,73
2015-11,63,20,71
2015-12,61,17,59
2016-01,62,17,57
2016-02,72,18,73
2016-03,68,19,79
2016-04,69,22,78
2016-05,67,21,68
2016-06,66,19,58
2016-07,60,13,47
2016-08,59,14,43
2016-09,65,15,63
2016-10,69,18,74
2016-11,83,20,81
2016-12,74,18,65
2017-01,79,16,61
2017-02,91,17,76
2017-03,91,20,83
2017-04,90,20,79
2017-05,92,21,69
2017-06,85,16,59
2017-07,79,14,49
2017-08,83,13,48
2017-09,88,14,62
2017-10,87,17,72
2017-11,89,18,76
2017-12,83,16,61
2018-01,83,15,60
2018-02,89,15,66
2018-03,81,17,64
2018-04,80,18,63
2018-05,82,19,57
2018-06,79,15,48
2018-07,71,13,44
2018-08,64,12,43
2018-09,74,13,54
2018-10,74,15,67
2018-11,77,17,66
2018-12,70,13,50
2019-01,74,13,49
2019-02,84,14,57
2019-03,77,15,59
2019-04,79,16,59
2019-05,72,16,53
2019-06,73,13,54
2019-07,72,12,52
2019-08,63,11,47
2019-09,75,12,60
2019-10,71,14,68
2019-11,73,15,69
2019-12,65,13,55
2020-01,63,12,57
2020-02,71,13,64
2020-03,70,13,55
2020-04,72,14,57
2020-05,74,14,56
2020-06,70,14,57
2020-07,67,11,51
2020-08,63,10,48
2020-09,72,11,48
2020-10,64,12,46
2020-11,62,11,43
2020-12,55,10,38
2021-01,55,10,34
2021-02,61,10,39
2021-03,62,11,45
2021-04,60,12,41
2021-05,59,11,38
2021-06,57,11,34
2021-07,55,9,29
2021-08,50,8,28
2021-09,60,9,39
2021-10,68,10,43
2021-11,69,11,44
2021-12,61,11,37
2022-01,62,13,44
2022-02,76,13,51
2022-03,76,16,57
2022-04,77,15,56
2022-05,71,16,52
2022-06,70,16,46
2022-07,62,12,39
2022-08,63,10,40
2022-09,71,12,51
2022-10,74,13,51
2022-11,72,14,58
2022-12,64,14,47
2023-01,67,13,44
2023-02,72,12,51
2023-03,73,14,51
2023-04,67,14,48
2023-05,68,15,45
2023-06,60,14,39
2023-07,54,12,34
2023-08,55,11,36
2023-09,62,12,40
2023-10,63,14,49
2023-11,58,14,48
2023-12,54,13,48
2024-01,60,13,53
2024-02,68,13,62
2024-03,68,14,53
2024-04,65,15,50
2024-05,61,16,45
