"ID","LOCATION","TIME","Value"
"1","GRC",1998-04,10.9
"2","GRC",1998-05,11
"3","GRC",1998-06,10.9
"4","GRC",1998-07,11
"5","GRC",1998-08,11.2
"6","GRC",1998-09,11.1
"7","GRC",1998-10,11.1
"8","GRC",1998-11-01,11.4
"9","GRC",1998-12-01,11.4
"10","GRC",1999-01-01,11.4
"11","GRC",1999-02-01,11.4
"12","GRC",1999-03-01,11.4
"13","GRC",1999-04-01,12.1
"14","GRC",1999-05-01,12
"15","GRC",1999-06-01,12
"16","GRC",1999-07-01,12
"17","GRC",1999-08-01,12.1
"18","GRC",1999-09-01,12
"19","GRC",1999-10-01,12.3
"20","GRC",1999-11-01,12.4
"21","GRC",1999-12-01,12.3
"22","GRC",2000-01-01,11.5
"23","GRC",2000-02-01,11.6
"24","GRC",2000-03-01,11.6
"25","GRC",2000-04-01,11.5
"26","GRC",2000-05-01,11.5
"27","GRC",2000-06-01,11.4
"28","GRC",2000-07-01,11.3
"29","GRC",2000-08-01,11.2
"30","GRC",2000-09-01,11.2
"31","GRC",2000-10-01,10.6
"32","GRC",2000-11-01,10.7
"33","GRC",2000-12-01,10.6
"34","GRC",2001-01-01,10.5
"35","GRC",2001-02-01,10.5
"36","GRC",2001-03-01,10.5
"37","GRC",2001-04-01,10.7
"38","GRC",2001-05-01,10.7
"39","GRC",2001-06-01,10.7
"40","GRC",2001-07-01,10.7
"41","GRC",2001-08-01,10.6
"42","GRC",2001-09-01,10.6
"43","GRC",2001-10-01,10.9
"44","GRC",2001-11-01,10.9
"45","GRC",2001-12-01,10.8
"46","GRC",2002-01-01,10.7
"47","GRC",2002-02-01,10.7
"48","GRC",2002-03-01,10.7
"49","GRC",2002-04-01,10.3
"50","GRC",2002-05-01,10.3
"51","GRC",2002-06-01,10.3
"52","GRC",2002-07-01,10.3
"53","GRC",2002-08-01,10.2
"54","GRC",2002-09-01,10.2
"55","GRC",2002-10-01,10
"56","GRC",2002-11-01,10
"57","GRC",2002-12-01,10
"58","GRC",2003-01-01,9.8
"59","GRC",2003-02-01,9.7
