"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GRC","HUR","TOT","PC_LF","M","1998-04",10.9,
"GRC","HUR","TOT","PC_LF","M","1998-05",11,
"GRC","HUR","TOT","PC_LF","M","1998-06",10.9,
"GRC","HUR","TOT","PC_LF","M","1998-07",11,
"GRC","HUR","TOT","PC_LF","M","1998-08",11.2,
"GRC","HUR","TOT","PC_LF","M","1998-09",11.1,
"GRC","HUR","TOT","PC_LF","M","1998-10",11.1,
"GRC","HUR","TOT","PC_LF","M","1998-11",11.4,
"GRC","HUR","TOT","PC_LF","M","1998-12",11.4,
"GRC","HUR","TOT","PC_LF","M","1999-01",11.4,
"GRC","HUR","TOT","PC_LF","M","1999-02",11.4,
"GRC","HUR","TOT","PC_LF","M","1999-03",11.4,
"GRC","HUR","TOT","PC_LF","M","1999-04",12.1,
"GRC","HUR","TOT","PC_LF","M","1999-05",12,
"GRC","HUR","TOT","PC_LF","M","1999-06",12,
"GRC","HUR","TOT","PC_LF","M","1999-07",12,
"GRC","HUR","TOT","PC_LF","M","1999-08",12.1,
"GRC","HUR","TOT","PC_LF","M","1999-09",12,
"GRC","HUR","TOT","PC_LF","M","1999-10",12.3,
"GRC","HUR","TOT","PC_LF","M","1999-11",12.4,
"GRC","HUR","TOT","PC_LF","M","1999-12",12.3,
"GRC","HUR","TOT","PC_LF","M","2000-01",11.5,
"GRC","HUR","TOT","PC_LF","M","2000-02",11.6,
"GRC","HUR","TOT","PC_LF","M","2000-03",11.6,
"GRC","HUR","TOT","PC_LF","M","2000-04",11.5,
"GRC","HUR","TOT","PC_LF","M","2000-05",11.5,
"GRC","HUR","TOT","PC_LF","M","2000-06",11.4,
"GRC","HUR","TOT","PC_LF","M","2000-07",11.3,
"GRC","HUR","TOT","PC_LF","M","2000-08",11.2,
"GRC","HUR","TOT","PC_LF","M","2000-09",11.2,
"GRC","HUR","TOT","PC_LF","M","2000-10",10.6,
"GRC","HUR","TOT","PC_LF","M","2000-11",10.7,
"GRC","HUR","TOT","PC_LF","M","2000-12",10.6,
"GRC","HUR","TOT","PC_LF","M","2001-01",10.5,
"GRC","HUR","TOT","PC_LF","M","2001-02",10.5,
"GRC","HUR","TOT","PC_LF","M","2001-03",10.5,
"GRC","HUR","TOT","PC_LF","M","2001-04",10.7,
"GRC","HUR","TOT","PC_LF","M","2001-05",10.7,
"GRC","HUR","TOT","PC_LF","M","2001-06",10.7,
"GRC","HUR","TOT","PC_LF","M","2001-07",10.7,
"GRC","HUR","TOT","PC_LF","M","2001-08",10.6,
"GRC","HUR","TOT","PC_LF","M","2001-09",10.6,
"GRC","HUR","TOT","PC_LF","M","2001-10",10.9,
"GRC","HUR","TOT","PC_LF","M","2001-11",10.9,
"GRC","HUR","TOT","PC_LF","M","2001-12",10.8,
"GRC","HUR","TOT","PC_LF","M","2002-01",10.7,
"GRC","HUR","TOT","PC_LF","M","2002-02",10.7,
"GRC","HUR","TOT","PC_LF","M","2002-03",10.7,
"GRC","HUR","TOT","PC_LF","M","2002-04",10.3,
"GRC","HUR","TOT","PC_LF","M","2002-05",10.3,
"GRC","HUR","TOT","PC_LF","M","2002-06",10.3,
"GRC","HUR","TOT","PC_LF","M","2002-07",10.3,
"GRC","HUR","TOT","PC_LF","M","2002-08",10.2,
"GRC","HUR","TOT","PC_LF","M","2002-09",10.2,
"GRC","HUR","TOT","PC_LF","M","2002-10",10,
"GRC","HUR","TOT","PC_LF","M","2002-11",10,
"GRC","HUR","TOT","PC_LF","M","2002-12",10,
"GRC","HUR","TOT","PC_LF","M","2003-01",9.8,
"GRC","HUR","TOT","PC_LF","M","2003-02",9.7,
"GRC","HUR","TOT","PC_LF","M","2003-03",9.7,
"GRC","HUR","TOT","PC_LF","M","2003-04",9.7,
"GRC","HUR","TOT","PC_LF","M","2003-05",9.7,
"GRC","HUR","TOT","PC_LF","M","2003-06",9.7,
"GRC","HUR","TOT","PC_LF","M","2003-07",9.7,
"GRC","HUR","TOT","PC_LF","M","2003-08",9.7,
"GRC","HUR","TOT","PC_LF","M","2003-09",9.7,
