"","...1","location_name","res_date","res_price","res_price_sqr","res_sqr","construction_year","levels","bedrooms","bathrooms","deleted","deleted_at","status","energyclass","auto_heating","solar","cooling","safe_door","gas","fireplace","furniture","student","parking"
"1",1,"Kallithea",2022-03-09,220000,2558,86,2002,"2nd",2,1,1,2022-04-15,"Excellent","C",1,0,1,1,0,0,1,0,"Parking πιλωτής"
"2",2,"Kallithea",2022-04-15,180000,2400,75,1975,"3rd",2,1,1,2022-04-22,"Renovated","D",0,0,0,0,0,0,1,0,NA
"3",3,"Kallithea",2022-02-11,180000,3000,60,2022,"1st",2,1,1,2022-04-14,"Excellent","A+",1,1,0,1,1,0,0,0,NA
"4",4,"Kallithea",2022-05-27,39000,1300,30,1965,"Basement",1,1,1,2022-06-02,"Renovated","F",0,0,0,0,0,0,1,0,NA
"5",5,"Kallithea",2022-04-06,92000,1533,60,1981,"1st",1,1,1,2022-04-08,"Good","E",0,0,0,0,0,0,0,0,NA
"6",6,"Kallithea",2021-02-17,220000,1864,118,1992,"1st",3,1,1,2022-03-23,"Newly built","D",1,0,0,1,0,0,0,0,NA
"7",8,"Kallithea",2022-04-10,130000,1461,89,1976,"Ground",2,1,1,2022-06-10,"Good","F",1,0,0,0,0,0,0,0,NA
"8",9,"Kallithea",2021-11-05,220000,2588,85,2005,"4th",3,1,1,2022-06-10,"Renovated","C",0,0,0,0,0,0,0,0,NA
"9",12,"Kallithea",2022-03-27,340000,2957,115,2020,"5th",3,1,1,2022-04-02,"Newly built","B+",1,0,0,1,0,1,0,0,NA
"10",13,"Kallithea",2022-04-14,75000,2586,29,1978,"Ground",1,1,1,2022-06-10,"Good","D",0,0,0,0,0,0,1,0,NA
"11",14,"Kallithea",2022-03-30,250000,2336,107,1990,"4th",2,1,1,2022-03-31,NA,"C",0,1,0,0,0,1,0,0,NA
"12",15,"Kallithea",2022-04-15,85000,1635,52,1967,"3rd",1,1,1,2022-04-16,"Renovated","E",1,0,0,0,1,0,0,0,NA
"13",16,"Kallithea",2022-05-13,170000,1417,120,1983,"3rd",4,1,1,2022-05-20,"Good","D",0,1,0,0,0,0,0,0,NA
"14",17,"Kallithea",2022-02-09,125000,1563,80,1985,"Ground",2,1,0,NA,"Excellent","Non effective",0,0,0,1,0,0,0,0,"Parking πιλωτής"
"15",18,"Kallithea",2022-05-24,290000,3372,86,2009,"3rd",2,1,1,2022-06-04,"Newly built","C",0,0,1,0,0,0,0,0,"Ανοιχτό parking"
"16",19,"Kallithea",2021-06-07,550000,5670,97,1964,"5th",4,2,1,2022-06-10,"Excellent","D",0,0,1,1,0,0,1,0,NA
"17",20,"Kallithea",2022-05-13,85000,1250,68,1970,"2nd",2,1,1,2022-05-14,"Renovated","D",0,0,0,0,0,0,0,0,NA
"18",21,"Kallithea",2022-05-11,180000,2400,75,1973,"3rd",2,1,1,2022-05-23,"Excellent","E",0,0,0,1,0,0,0,0,NA
"19",22,"Kallithea",2022-03-08,70000,1556,45,1975,"1st",NA,NA,1,2022-06-02,"Good","G",1,0,0,0,1,0,0,0,NA
"20",23,"Kallithea",2021-10-19,62000,2000,31,NA,"5th",1,1,1,2022-03-30,"Renovated","D",1,0,1,1,0,0,0,0,NA
"21",24,"Kallithea",2022-05-24,135000,3293,41,2005,"4th",1,1,1,2022-05-31,"Good","D",0,0,0,1,0,0,0,0,NA
"22",25,"Kallithea",2022-06-02,75000,1563,48,1970,"Ground",1,1,1,2022-06-10,"Needs renovation","G",0,0,0,0,0,0,0,0,NA
"23",26,"Kallithea",2022-04-06,275000,3198,86,2021,"3rd",2,1,1,2022-06-10,"Not finished",NA,1,0,1,1,0,0,0,0,NA
"24",27,"Kallithea",2022-05-19,150000,1875,80,1981,"3rd",2,1,0,NA,"Renovated","Pending",0,0,1,1,0,0,0,0,NA
"25",28,"Kallithea",2021-09-09,210000,2333,90,1990,"1st",2,1,1,2022-05-07,"Excellent","C",0,1,0,1,0,0,0,0,"Κλειστό parking"
"26",29,"Kallithea",2021-01-21,235000,2938,80,2013,"1st",2,NA,0,NA,"Good","B+",1,0,1,1,1,1,0,0,NA
"27",30,"Kallithea",2022-06-08,410000,3306,124,2022,"5th",2,1,0,NA,"Newly built","A+",0,1,1,1,0,1,0,0,NA
"28",31,"Kallithea",2022-06-01,159000,3000,53,2022,"2nd",1,1,0,NA,"Newly built","A",0,0,0,1,0,0,0,0,NA
"29",32,"Kallithea",2022-03-01,370000,2891,128,1999,"Ground",3,3,1,2022-03-17,"Renovated","B",1,1,0,1,1,1,0,0,NA
"30",33,"Kallithea",2022-05-24,48000,1000,48,1930,"1st",1,1,1,2022-06-02,"Good","G",0,0,0,0,0,0,0,1,NA
"31",34,"Kallithea",2022-03-31,50000,3846,13,1970,"3rd",1,1,1,2022-06-10,"Good","G",0,1,0,0,0,0,1,0,NA
"32",35,"Kallithea",2022-05-01,135000,1350,100,1983,"2nd",2,1,1,2022-05-17,"Excellent","F",0,0,1,1,0,0,0,0,NA
"33",36,"Kallithea",2022-03-19,185000,3700,50,2022,"3rd",1,1,1,2022-03-28,"Under construction","A",1,0,0,1,0,0,0,0,NA
"34",37,"Kallithea",2022-04-05,176500,1605,110,1989,"1st",3,1,1,2022-04-14,"Good","G",1,0,0,1,0,0,0,0,NA
"35",38,"Kallithea",2022-04-16,4e+05,3306,121,2021,"5th",3,1,1,2022-05-12,"Under construction","A",1,0,0,1,0,1,0,0,NA
"36",42,"Kallithea",2020-09-21,2e+05,2062,97,1963,"2nd",2,1,1,2022-06-10,NA,NA,1,1,0,0,0,0,0,0,NA
"37",43,"Kallithea",2022-06-02,220000,3385,65,1975,"3rd",2,1,0,NA,NA,"Pending",0,0,0,0,0,0,0,0,NA
"38",44,"Kallithea",2022-03-03,210000,2414,87,2007,"4th",2,1,1,2022-03-17,"Newly built","B",1,0,1,1,0,1,0,0,"Parking πιλωτής"
"39",45,"Kallithea",2021-06-30,310000,2422,128,1983,"2nd",2,1,1,2022-06-10,"Good","E",1,0,0,1,1,0,0,0,NA
"40",46,"Kallithea",2022-02-20,220000,2973,74,2022,"4th",NA,NA,0,NA,"Under construction","E",1,0,0,0,0,0,0,0,NA
"41",47,"Kallithea",2021-07-12,290000,2736,106,1974,"3rd",2,1,1,2022-06-10,"Needs renovation","G",1,0,0,1,0,0,0,0,NA
"42",49,"Kallithea",2022-05-08,120000,2667,45,1961,"2nd",1,1,1,2022-06-02,"Good","Pending",0,0,0,0,0,0,0,1,NA
"43",50,"Kallithea",2022-03-24,250000,2500,100,1990,"5th",1,1,0,NA,"Good","C",1,0,1,1,0,0,0,0,NA
"44",51,"Kallithea",2022-04-08,70000,1556,45,1975,"Ground",1,1,1,2022-04-16,"Excellent","C",1,1,0,1,0,0,0,0,NA
"45",52,"Kallithea",2022-05-03,59000,2107,28,1972,"6th",1,1,1,2022-05-12,NA,"B",0,0,1,0,0,0,0,1,NA
"46",53,"Kallithea",2022-04-19,260000,3250,80,2021,"1st",2,1,1,2022-06-02,"Under construction","A",0,0,0,1,0,1,0,0,NA
