DATAFLOW,LAST UPDATE,freq,citizen,sex,unit,age,asyl_app,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00191(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,AT,2010,11045,
ESTAT:TPS00191(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,AT,2011,14420,
ESTAT:TPS00191(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,AT,2012,17415,
ESTAT:TPS00191(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,AT,2013,17500,
ESTAT:TPS00191(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,AT,2014,28035,
ESTAT:TPS00191(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,AT,2015,88160,
ESTAT:TPS00191(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,AT,2016,42255,
ESTAT:TPS00191(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,AT,2017,24715,
ESTAT:TPS00191(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,AT,2018,13710,
ESTAT:TPS00191(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,AT,2019,12860,
ESTAT:TPS00191(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,AT,2020,14760,
ESTAT:TPS00191(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,AT,2021,39900,
ESTAT:TPS00191(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,BE,2010,26085,
ESTAT:TPS00191(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,BE,2011,31910,
ESTAT:TPS00191(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,BE,2012,28075,
ESTAT:TPS00191(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,BE,2013,21030,
ESTAT:TPS00191(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,BE,2014,22710,
ESTAT:TPS00191(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,BE,2015,44665,
ESTAT:TPS00191(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,BE,2016,18280,
ESTAT:TPS00191(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,BE,2017,18340,
ESTAT:TPS00191(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,BE,2018,22530,
ESTAT:TPS00191(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,BE,2019,27460,
ESTAT:TPS00191(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,BE,2020,16710,
ESTAT:TPS00191(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,BE,2021,24970,
ESTAT:TPS00191(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,BG,2010,1025,
ESTAT:TPS00191(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,BG,2011,890,
ESTAT:TPS00191(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,BG,2012,1385,
ESTAT:TPS00191(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,BG,2013,7145,
ESTAT:TPS00191(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,BG,2014,11080,
ESTAT:TPS00191(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,BG,2015,20390,
ESTAT:TPS00191(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,BG,2016,19420,
ESTAT:TPS00191(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,BG,2017,3695,
ESTAT:TPS00191(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,BG,2018,2535,
ESTAT:TPS00191(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,BG,2019,2150,
ESTAT:TPS00191(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,BG,2020,3525,
ESTAT:TPS00191(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,BG,2021,11000,
ESTAT:TPS00191(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,CH,2010,15425,
ESTAT:TPS00191(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,CH,2011,23615,
ESTAT:TPS00191(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,CH,2012,28400,
ESTAT:TPS00191(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,CH,2013,21305,
ESTAT:TPS00191(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,CH,2014,23560,
ESTAT:TPS00191(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,CH,2015,39445,
