DATAFLOW,LAST UPDATE,freq,unit,tra_infr,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,AL,2013,0,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,AL,2014,0,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,AL,2015,0,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,AL,2016,0,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,AL,2017,0,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,AL,2018,0,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,AL,2019,0,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,AL,2020,0,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,AL,2021,0,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,BA,2013,771,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,BA,2014,772,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,BA,2015,772,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,BA,2016,746,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,BA,2017,747,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,BA,2018,749,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,BA,2019,749,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,BA,2020,1058,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,BA,2021,1058,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,BG,2012,3812,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,BG,2013,3773,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,BG,2014,3728,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,BG,2015,3724,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,BG,2016,3738,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,BG,2017,3727,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,BG,2018,3734,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,BG,2019,3728,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,BG,2020,3729,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,BG,2021,3860,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,CZ,2012,6903,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,CZ,2013,6926,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,CZ,2014,6915,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,CZ,2015,6939,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,CZ,2016,6939,
