date,views,lang
2022-01-01,12,bg
2022-01-02,13,bg
2022-01-03,14,bg
2022-01-04,24,bg
2022-01-05,21,bg
2022-01-06,35,bg
2022-01-07,30,bg
2022-01-08,30,bg
2022-01-09,49,bg
2022-01-10,38,bg
2022-01-11,11,bg
2022-01-12,25,bg
2022-01-13,36,bg
2022-01-14,24,bg
2022-01-15,23,bg
2022-01-16,15,bg
2022-01-17,35,bg
2022-01-18,37,bg
2022-01-19,27,bg
2022-01-20,26,bg
2022-01-21,29,bg
2022-01-22,24,bg
2022-01-23,18,bg
2022-01-24,31,bg
2022-01-25,24,bg
2022-01-26,25,bg
2022-01-27,43,bg
2022-01-28,26,bg
2022-01-29,30,bg
2022-01-30,41,bg
2022-01-31,20,bg
2022-02-01,26,bg
2022-02-02,32,bg
2022-02-03,23,bg
2022-02-04,20,bg
2022-02-05,13,bg
2022-02-06,21,bg
2022-02-07,35,bg
2022-02-08,34,bg
2022-02-09,32,bg
2022-02-10,37,bg
2022-02-11,40,bg
2022-02-12,23,bg
2022-02-13,19,bg
2022-02-14,24,bg
2022-02-15,25,bg
2022-02-16,22,bg
2022-02-17,26,bg
2022-02-18,30,bg
2022-02-19,19,bg
2022-02-20,24,bg
2022-02-21,21,bg
2022-02-22,28,bg
2022-02-23,19,bg
2022-02-24,24,bg
2022-02-25,31,bg
2022-02-26,14,bg
2022-02-27,24,bg
2022-02-28,45,bg
2022-03-01,23,bg
2022-03-02,21,bg
2022-03-03,27,bg
2022-03-04,51,bg
2022-03-05,16,bg
2022-03-06,25,bg
2022-03-07,22,bg
2022-03-08,25,bg
2022-03-09,25,bg
2022-03-10,19,bg
2022-03-11,29,bg
2022-03-12,40,bg
2022-03-13,34,bg
2022-03-14,41,bg
2022-03-15,26,bg
2022-03-16,50,bg
2022-03-17,41,bg
2022-03-18,35,bg
2022-03-19,35,bg
2022-03-20,23,bg
2022-03-21,44,bg
2022-03-22,56,bg
2022-03-23,60,bg
2022-03-24,28,bg
2022-03-25,26,bg
2022-03-26,25,bg
2022-03-27,12,bg
2022-03-28,36,bg
2022-03-29,24,bg
2022-03-30,29,bg
2022-03-31,26,bg
2022-04-01,16,bg
2022-04-02,18,bg
2022-04-03,20,bg
2022-04-04,25,bg
2022-04-05,34,bg
2022-04-06,41,bg
2022-04-07,20,bg
2022-04-08,33,bg
2022-04-09,21,bg
2022-04-10,29,bg
2022-04-11,23,bg
2022-04-12,25,bg
2022-04-13,16,bg
2022-04-14,27,bg
2022-04-15,17,bg
2022-04-16,19,bg
2022-04-17,27,bg
2022-04-18,24,bg
2022-04-19,34,bg
2022-04-20,28,bg
2022-04-21,12,bg
2022-04-22,15,bg
2022-04-23,16,bg
2022-04-24,24,bg
2022-04-25,7,bg
2022-04-26,16,bg
2022-04-27,28,bg
2022-04-28,26,bg
2022-04-29,21,bg
2022-04-30,22,bg
2022-05-01,3,bg
2022-05-02,16,bg
2022-05-03,16,bg
2022-05-04,10,bg
2022-05-05,17,bg
2022-05-06,1,bg
2022-05-07,14,bg
2022-05-08,11,bg
